,index,country,province,region_1,winery,title,variety,price,points,taster_name,description,designation,taster_twitter_handle
846,836,Spain,Catalonia,Cava,Juvé y Camps,Juvé y Camps NV Cinta Púrpura Brut Reserva Sparkling (Cava),Sparkling Blend,13.0,86,Michael Schachner,"Apple and melon aromas are standard and light. A juicy, citrusy feeling palate delivers stone-fruit flavors of peach and nectarine. A mild finish is fresh in flavor and feel.",Cinta Púrpura Brut Reserva,@wineschach
847,837,Spain,Catalonia,Cava,Juvé y Camps,Juvé y Camps NV Sweet Reserva Sparkling (Cava),Sparkling Blend,15.0,86,Michael Schachner,"Generic white-fruit and matchstick aromas are quiet in nature. This is creamy and not assaulting or sugary on the palate. Mango, melon, lychee and citrus flavors finish with lime notes.",Sweet Reserva,@wineschach
888,876,Spain,Catalonia,Priorat,Vall Llach,Vall Llach 2007 Idus Red (Priorat),Red Blend,50.0,90,Michael Schachner,"Ripe and sweet, with lush, raisiny aromas. The palate is flush, deep and layered, with baked berry, prune, toast and coffee flavors. This is a lot like Vall Llach's signature '07, but it's a bit more restrained and at $50 it's a better deal than the $95 wine. Still, it's a heavyweight to drink now through 2013.",Idus,@wineschach
893,881,Spain,Catalonia,Priorat,Fuentes,Fuentes 2008 Coraje Red (Priorat),Red Blend,44.0,90,Michael Schachner,"Ripe black fruit aromas aren't overly complex or nuanced but they are generous. Feels tight, gritty and healthy, with firm tannins in front of black cherry and blackberry flavors. Mellows on the finish, where plum and prune flavors take over. Not a hard, fierce Priorat; drink now through 2014.",Coraje,@wineschach
912,900,Spain,Catalonia,Priorat,Morlanda,Morlanda 2007 Criança Red (Priorat),Red Blend,48.0,90,Michael Schachner,"It has taken a few years but Morlanda has reached a nice place with this wine. Look for ripeness and concentrated black fruit aromas, and then a ripe palate with herbal blackberry and chocolate. Smooth on the finish, with a tiny bit of burn. Drink now through 2014.",Criança,@wineschach
950,938,Spain,Northern Spain,Rioja,Covila,Covila 2013 II Crianza  (Rioja),Tempranillo,15.0,87,Michael Schachner,"Earthy, cool aromas of wet cement, raisin and raspberry are a bit flat. This feels drawing and tannic, with flavors of tomato, red plum, currant and raspberry. A full-size finish is comfortable but not very complex.",II Crianza,@wineschach
953,941,Spain,Levante,Jumilla,Ego Bodegas,Ego Bodegas 2014 Goru Verde Monastrell (Jumilla),Monastrell,15.0,87,Michael Schachner,"Cool aromas of cola, leather and black cherry set up a fairly full but fresh palate with moderate creamy weight. This tastes reedy and spicy, with wild-berry fruit, peppery notes and a distinct flavor of creamy oak. On the finish, this is oaky and herbal tasting.",Goru Verde,@wineschach
955,943,Spain,Northern Spain,Rioja,Finca del Marquesado,Finca del Marquesado 2013 Crianza  (Rioja),Tempranillo Blend,18.0,87,Michael Schachner,"Slightly gritty aromas are just barely ripe enough. This feels tight, acidic and like tomato juice. Flavors of salty berry fruits, tomato, oak and vanilla are modest but complete. Given how cool 2013 was in Rioja, this is quite good.",Crianza,@wineschach
965,952,Spain,Catalonia,Penedès,Agustí Torelló Mata,Agustí Torelló Mata 2015 XIC Xarel-lo (Penedès),Xarel-lo,16.0,87,Michael Schachner,"Dusty stone-fruit aromas suggest yeast and nectarine. This varietal Xarel-lo feels citrusy and spunky; flavors of melon, orange and nectarine are good but standard on the finish. Overall, this is linear and fairly basic for white wine.",XIC,@wineschach
971,958,Spain,Northern Spain,Cariñena,Ignacio Marín,Ignacio Marín 2015 Wine Wings Garnacha Rosé (Cariñena),Rosé,18.0,87,Michael Schachner,"Crisp plum and red-bell-pepper aromas lead to a healthy, mostly fresh palate with some weight to it. A mix of citrus and red-plum flavors ends long, without much, if any, unwanted pithiness or bitterness.",Wine Wings Garnacha,@wineschach
1045,1031,Spain,Northern Spain,Ribera del Duero,Linaje Garsea,Linaje Garsea 2010 Crianza  (Ribera del Duero),Tempranillo,28.0,88,Michael Schachner,"Leathery cherry and cassis aromas are softened up by baking spice accents. In the mouth, this is hard-edged and pointed, with sharp, lemony acidity. Flavors of spiced plum and pie cherry finish with jagged acids and heat. This is a real enamel-peeler; more time in bottle can only help.",Crianza,@wineschach
1056,1042,Spain,Northern Spain,Rioja,Rentas de Fincas,Rentas de Fincas 2003 Crianza  (Rioja),Red Blend,15.0,85,Michael Schachner,"A pretty decent Rioja for the vintage, but you're going to have to be ready for some rubbery aromas and then staunch red fruit with a little bite. It's quite the traditional wine, with lemon peel, leather and tobacco. Runs short on the finish.",Crianza,@wineschach
1065,1051,Spain,Galicia,Rías Baixas,Marqués de Vizhoja,Marqués de Vizhoja 2007 Señor da Folla Verde White (Rías Baixas),White Blend,25.0,85,Michael Schachner,"Quite leesy and funky, with meaty, oily aromas that are a departure from normal Albariño and are indicative of the 30% Treixadura and Loureiro that beef things up. Perfectly drinkable, and with a decent mouthfeel, but still it lacks the straightforward cleanliness of the really good wines from Galicia. Imported by Republic National Distributing Co.",Señor da Folla Verde,@wineschach
1067,1053,Spain,Northern Spain,Rioja,Finca La Emperatriz,Finca La Emperatriz 2000 Reserva  (Rioja),Tempranillo Blend,30.0,85,Michael Schachner,"With tobacco, molasses, spearmint and baked fruit aromas, this finds itself squarely in the old school forum. The palate shows straight-ahead red fruit with light herbal and pepper accents. Snappy and a bit thin, but it offers all the basics.",Reserva,@wineschach
1125,1110,Spain,Northern Spain,Ribera del Duero,Casajús,Casajús 2011 Antiguos Viñedos  (Ribera del Duero),Tempranillo,60.0,90,Michael Schachner,"With a black color and deep, resiny aromas of licorice, baking spices and black fruits, this is a big, Tempranillo with plenty of size and tannic bite. Flavors of earthy, oaky, loamy plum and blackberry finish with licorice, spice and baked notes. Drink through 2018.",Antiguos Viñedos,@wineschach
1126,1111,Spain,Catalonia,Cava,Castellroig,Castellroig 2010 Reserva Brut Nature Sparkling (Cava),Sparkling Blend,25.0,90,Michael Schachner,"The nose falls somewhere between smoky and gritty, while dusty white-fruit scents prop things up. Peachy acidity and citric tang let you know this is a “nature” Cava, while nectarine, rhubarb and green-herb flavors finish razor crisp and dry.",Reserva Brut Nature,@wineschach
1130,1115,Spain,Northern Spain,Ribera del Duero,Condado de Oriza,Condado de Oriza 2008 Reserva  (Ribera del Duero),Tempranillo,27.0,90,Michael Schachner,"This 2008 holdover shows a mix of jammy, composed berry aromas as well as staunch notes of dried cheese and leather. The palate is firm at first, then more loamy and layered. On the flavor profile, baked berry blends with brine and cardamom, while on the finish this ready-to-drink RDD delivers licorice and earthy baked notes.",Reserva,@wineschach
1272,1257,Spain,Northern Spain,Rioja,Cameron Hughes,Cameron Hughes 2004 Lot 93  (Rioja),Tempranillo,21.0,88,Michael Schachner,"Cameron Hughes bottles dozens of wines from California growers, and now he's expanded to include Rioja and Campo de Borja in Spain along with South Africa. This wine is made in the full-throttled, modern style. There's copious oak, toast and darkness on the bouquet, and then full-bodied black plum, raspberry and spice flavors. Quite a bulky, oaky style, but also one endowed with chocolate, nuttiness and depth.",Lot 93,@wineschach
1295,1280,Spain,Central Spain,Uclés,Bodegas Fontana,Bodegas Fontana 2010 Mesta Tempranillo (Uclés),Tempranillo,8.0,84,Michael Schachner,"A bit scratchy up front, with some heat and rubber to the bouquet. Feels bold, grippy and alive, with lightly herbal flavors of roasted berry and leather. Herbal and blackened on the finish; ripe but basic in quality.",Mesta,@wineschach
1296,1281,Spain,Northern Spain,Ribera del Duero,Bodegas Peñafiel,Bodegas Peñafiel 2006 Miros de Ribera Crianza  (Ribera del Duero),Tempranillo,27.0,84,Michael Schachner,"On the plus side, the wine is exotic and different, with blueberry, herbal notes, juniper and roasted aromas. But in the mouth, it's lean to the point of being thin, with sharp acidity and tight red plum, pie cherry and herbal flavors. Short on the finish, with tang and scour.",Miros de Ribera Crianza,@wineschach
1309,1294,Spain,Catalonia,Priorat,Clos Figueras,Clos Figueras 2013 Serras del Priorat Red (Priorat),Red Blend,30.0,89,Michael Schachner,"Rubbery berry and plum aromas come with a note of latex. In the mouth, this is juicy, bright and focused, with good raspberry and plum fruit. Textural balance is an attribute, while the finish is round, lively and full of tasty berry flavors. Drink through 2018.",Serras del Priorat,@wineschach
1320,1305,Spain,Andalucia,Jerez,Osborne,Osborne NV Cream Sherry (Jerez),Sherry,18.0,89,Michael Schachner,"This blends intensity and nutty richness on the nose, backed up by a full, balanced palate. Flavors of dark caramel, toffee and chocolate end with the distinct flavor of café mocha and a lasting streak of caramel.",Cream,@wineschach
1321,1306,Spain,Catalonia,Penedès,Pinord,Pinord 2007 Chateldon Reserva Cabernet Sauvignon (Penedès),Cabernet Sauvignon,20.0,89,Michael Schachner,"Rusty in color and earthy on the nose, with capped aromas of cedar and herbs, this mature Catalonian Cabernet is compact on the palate and fused by firm tannins. Flavors of dried berry, stone fruits and toffee finish long. This ranks as a fun challenge for Spanish wine geeks.",Chateldon Reserva,@wineschach
1337,1321,Spain,Catalonia,Penedès,Albet I Noya,Albet I Noya 2013 Brut Natural Reserva Sparkling (Penedès),Sparkling Blend,25.0,90,Michael Schachner,"Focused crisp aromas of white fruits reflect a cool vintage. This is roughly one-quarter each Macabeo, Parellada, Xarello and Chardonnay, and it feels tight, fresh and focused. Dry stone-fruit flavors include a hint of lime, while this is clean on the finish.",Brut Natural Reserva,@wineschach
1339,1323,Spain,Catalonia,Cava,Alta Alella,Alta Alella 2013 Privat Gran Reserva Brut Nature Sparkling (Cava),Sparkling Blend,36.0,90,Michael Schachner,"Briny cidery aromas are fortunately not that loud or intense. This is wide and generous on the palate, with dry briny stone-fruit and apple flavors. A sense of dryness and pickle brine is amplified on a purposeful finish.",Privat Gran Reserva Brut Nature,@wineschach
1342,1326,Spain,Northern Spain,Rioja,Baigorri,Baigorri 2015 Blanco Fermentado en Barrica Viura (Rioja),Viura,33.0,90,Michael Schachner,Waxy lightly toasted aromas of yellow apple are more subtle than popping. This barrel-fermented wine offers good weight and balance along with quiet flavors of spiced apple and vanilla. A sophisticated clean finish is lightly oaked in flavor and smooth in feel.,Blanco Fermentado en Barrica,@wineschach
1374,1357,Spain,Northern Spain,Navarra,Bodegas Artazu,Bodegas Artazu 2008 Santa Cruz de Artazu Garnacha (Navarra),Garnacha,47.0,86,Michael Schachner,"This Navarran Garnacha is more interesting, offering lemony, floral aromas that are red in nature and not very stout. The palate sizzles with racy acidity, while the flavor profile is pure and tangy, with cranberry and red plum notes. A zesty style of Grenache.",Santa Cruz de Artazu,@wineschach
1375,1358,Spain,Northern Spain,Rioja,Burgo Viejo,Burgo Viejo 2011 Tinto  (Rioja),Tempranillo Blend,10.0,86,Michael Schachner,"This Rioja opens with a jumpy, lively, candied red-fruit aroma. It feels solid, rubbery and stout, with dark fruit flavors that are accented by mild resin and butter notes. Feels a little sticky on the finish, with firm tannins.",Tinto,@wineschach
1548,1530,Spain,Catalonia,Penedès,Jean León,Jean León 2015 3055 Chardonnay (Penedès),Chardonnay,15.0,86,Michael Schachner,"This wine's melon and mango aromas come with an oily note of lanolin. It feels lazy on the palate, with just enough acidity to maintain freshness. Mild tropical fruit flavors turn yeasty on its hollow finish. Drink immediately.",3055,@wineschach
1549,1531,Spain,Levante,Jumilla,Bodegas Luzón,Bodegas Luzón 2014 Luzón Red (Jumilla),Red Blend,9.0,86,Michael Schachner,"Cherry and blackberry aromas come with spice and cool note of cola in this Monatrell-Syrah blend. It's narrow and tannic, with black fruit and desert herb flavors that finish dry and rubbery.",Luzón,@wineschach
1550,1532,Spain,Central Spain,La Mancha,Volver,Volver 2014 Single Vineyard Tempranillo (La Mancha),Tempranillo,17.0,85,Michael Schachner,"This wine's charred nose suggests over-the-top oak. The palate is a rough road of hard grape skin tannins. Char and clove flavors blanket its savory, meaty berry fruit, finishing woody and redolent of clove.",Single Vineyard,@wineschach
1562,1545,Spain,Catalonia,Alella,Raventós de Alella,Raventós de Alella 2015 Tina 20 Pansa Blanca (Alella),Pansa Blanca,20.0,85,Michael Schachner,"This varietal Xarello feels more flat than vivid. It has fleshy yet generic white fruit aromas, ripe melon flavors and a tired finish.",Tina 20,@wineschach
1660,1645,Spain,Catalonia,Montsant,Portal del Montsant,Portal del Montsant 2014 Bruberry Red (Montsant),Red Blend,27.0,85,Michael Schachner,"Cherry cough drop and minerally, almost chlorine aromas lead to an edgy high-acid hard palate. This blend of Carignan, Garnacha and Syrah tastes medicinal and like creamy but fiery red plum. A screechy-feeling, chocolaty-tasting finish leaves an impression.",Bruberry,@wineschach
1715,1701,Spain,Northern Spain,Rueda,Bodegas Cerrosol,Bodegas Cerrosol 2006 Doña Beatriz Sauvignon (Rueda),Sauvignon,12.0,86,Michael Schachner,"This tiny production SB is sweet and easygoing, with canned peach aromas along with pineapple and mild citrus flavors. Roundness and a smooth feel work in the wine's favor, because there's just enough acidity to push the length on the finish. Drink right away.",Doña Beatriz,@wineschach
1731,1718,Spain,Catalonia,Catalunya,Torres,Torres 2006 Viña Esmeralda Moscatel (Catalunya),Moscatel,15.0,85,Michael Schachner,"This wine is a “product” in every sense of the word. It's consistent from year to year, and if you know Esmeralda, with its sweet blend of Moscatel and Gewürz, then you know that it delivers simple but pleasant lime, kiwi and cantaloupe flavors with a certain watery freshness.",Viña Esmeralda,@wineschach
1734,1721,Spain,Northern Spain,Rioja,Marqués de Cáceres,Marqués de Cáceres 2006 Blanco Fermentado en Barrica White (Rioja),White Blend,8.0,85,Michael Schachner,"The winery has dialed back the time in oak for its barrel-fermented Viura to two months from five or six, and it's a decidedly less oaky wine than in years prior. Now it shows a controlled lees character along with lemon and apple flavors. Limited in what it offers, but made well.",Blanco Fermentado en Barrica,@wineschach
1735,1722,Spain,Galicia,Ribeiro,Bodegas Campante,Bodegas Campante 2006 Versatus White (Ribeiro),White Blend,10.0,85,Michael Schachner,"White raisin and touches of lettuce and celery give this multigrape blend some richness but also a bit of green character. The palate shows lemon, green apple and pineapple, and this lean quality is confirmed by the wine's modest 11% alcohol level. Drink now to catch it at its scouring, sorbet-like best.",Versatus,@wineschach
1739,1726,Spain,Northern Spain,Rioja,Bodegas Riojanas,Bodegas Riojanas 2006 Monte Real Gran Reserva  (Rioja),Tempranillo,47.0,92,Michael Schachner,"For classic Rioja, Monte Real is always a good bet. This offering delivers textbook aromas of dried raspberry and cherry offset by fallen leaves and a pinch of seashell. The palate is still quite fresh, while black cherry, raisin, spice and cocoa flavors finish smooth and long, with a touch of oxidation and a Sherry note for added complexity. Drink through 2022.",Monte Real Gran Reserva,@wineschach
1751,1755,Spain,Catalonia,Cava,Conde de Subirats,Conde de Subirats NV Brut Rose Sparkling (Cava),Sparkling Blend,13.0,84,Michael Schachner,"Aromas of rhubarb, herbs and strawberry mark the nose. This feels solid and mostly fresh, while flavors of pickled rhubarb and briny plum come with sugary sweetness in front of a salty finish.",Brut Rose,@wineschach
1765,1751,Spain,Levante,Alicante,Volver,Volver 2014 Tarima Sparkling (Alicante),Sparkling Blend,12.0,84,Michael Schachner,"Briny lemon-lime aromas are simplistic. This blend of Moscatel and Merseguera is foamy, while good acidity keeps it on a level plane. Ripe, sweet flavors of lychee, honeydew and mango are pure Moscato, while acidity from the Mersequera helps this along.",Tarima,@wineschach
1767,1753,Spain,Northern Spain,Rioja,Finca La Pica,Finca La Pica 2011 Crianza  (Rioja),Tempranillo Blend,25.0,84,Michael Schachner,"From the beginning, this crianza from a very good vintage is lacking. The nose is mulchy and cheesy, with almost no fruit character. The palate is edgy in feel, while leafy, stalky red-fruit flavors are salty and taste of vanilla and caramel.",Crianza,@wineschach
1777,1764,Spain,Catalonia,Cava,Biutiful,Biutiful NV Brut Rose Garnacha (Cava),Garnacha,14.0,84,Michael Schachner,"Pickled, briny aromas of citrus and berry fruits are modest. On the palate, this is soft and low on acidity. Flavors of raspberry, cherry and red currant are mild, with a touch of bitterness.",Brut Rose,@wineschach
1796,1782,Spain,Catalonia,Priorat,Cellers Unió,Cellers Unió 2009 Roureda Llicorella Gran Selecció Vitis 60 Red (Priorat),Red Blend,33.0,91,Michael Schachner,"Jammy, ripe blueberry and blackberry aromas belie a crisp, tight palate, with wild berry, licorice and peppery flavors. This is fresh, wiry, firmly structured and alert as well as comfortable and controlled. Think classic Priorat to drink through 2018.",Roureda Llicorella Gran Selecció Vitis 60,@wineschach
1820,1806,Spain,Catalonia,Cava,Juvé y Camps,Juvé y Camps 2013 Essential Xarel-lo (Cava),Xarel-lo,15.0,85,Michael Schachner,"Cidery aromas are briny. This feels low on bubbles but propped up by citric acidity. Orange and lettuce flavors end in pedestrian fashion, with a note of green herbs. This Cava's moderate, straightforward personality is due to the fact that it's 100% Xarello.",Essential,@wineschach
1824,1809,Spain,Levante,Valencia,Mamarracho,Mamarracho 2014 The Issue of Inexpensive Wines is When They Are Not Good Enough Red (Valencia),Red Blend,11.0,85,Michael Schachner,"Staunch aromas of leather and animal hide ride heavily on top of rubbery blackberry scents. This feels solid but scattered, with cherry and cassis flavors that come across jammy. Rubbery notes and a mild cheesy oak character dominate the finish.",The Issue of Inexpensive Wines is When They Are Not Good Enough,@wineschach
1829,1814,Spain,Levante,Valencia,Castillo de Liria,Castillo de Liria 2014 Winemaker's Selection White (Valencia),White Blend,9.0,85,Michael Schachner,"This blend of Merseguera and Sauvignon Blanc is modest as a church mouse, with clean but dilute green-apple aromas. An easygoing, round palate offers orange and lime flavors in front of a pithy, citrusy finish.",Winemaker's Selection,@wineschach
1831,1816,Spain,Catalonia,Cava,Tarantas,Tarantas 2014 Brut Sparkling (Cava),Sparkling Blend,15.0,85,Michael Schachner,"Leesy vanilla aromas are scattershot and include bready notes of baked apple and pear. This feels round, plump and low on acidity. Flavors of grassy, green citrus and tropical fruits turn bitter before flattening out on a mild finish.",Brut,@wineschach
1842,1827,Spain,Galicia,Ribeira Sacra,Adegas Moure,Adegas Moure 2013 Tradición Joven Red (Ribeira Sacra),Red Blend,23.0,84,Michael Schachner,"Damp, rubbery aromas of berry fruits and cured meat amount to a weird ensemble. This is decidedly grabby on the palate, with salty, herbal plum flavors. A leafy, herbal, mildly green finish wraps up this kitchen-sink blend of Mencía and other grapes.",Tradición Joven,@wineschach
1843,1828,Spain,Levante,Alicante,Bocopa,Bocopa 2012 Alcanta Crianza Red (Alicante),Red Blend,16.0,84,Michael Schachner,"Oaky, jammy aromas are wayward and slightly green. This blend of Tempranillo and Monastrell delivers heavy tannins on a widespread but unfocused palate. Oaky, drying berry flavors are more bitter than fruity, while the finish is choppy in feel and woody in taste.",Alcanta Crianza,@wineschach
1848,1833,Spain,Northern Spain,Cariñena,Bodegas Paniza,Bodegas Paniza 2013 Agostón Viura-Chardonnay (Cariñena),Viura-Chardonnay,13.0,84,Michael Schachner,"This Viura-Chardonnay blend smells odd, as if musky cologne was blended with body oil. The palate seems caught between heavy and racy, while flavors of candied white fruits, apple and pear come with residual sugar and a sketchy foundation.",Agostón,@wineschach
