,index,country,province,region_1,winery,title,variety,price,points,taster_name,description,designation,taster_twitter_handle
1197,1182,Australia,South Australia,South Australia,Beresford,Beresford 2014 Beacon Hill Sauvignon Blanc (South Australia),Sauvignon Blanc,13.0,88,Joe Czerwinski,"Beyond a hint of stuck flint on the nose, this offers clean, varietally correct aromas and flavors of white nectarine, grapefruit and gooseberry. It's nicely balanced in the middle of the spectrum, offering a harmonious mix of stone fruit and citrus.",Beacon Hill,@JoeCz
1213,1198,Australia,Victoria,Goulburn Valley,Ben Haines,Ben Haines 2015 B Minor Marsanne-Roussanne (Goulburn Valley),Marsanne-Roussanne,25.0,87,Joe Czerwinski,"At less than 13% abv, this is on the lighter side of the Rhône white spectrum, offering simple pear and toasted marshmallow aromas and flavors that finish lean and crisp.",B Minor,@JoeCz
1214,1199,Australia,South Australia,South Australia,Beresford,Beresford 2014 Beacon Hill Pinot Grigio (South Australia),Pinot Grigio,13.0,87,Joe Czerwinski,"This is plump and custardy in feel, but still refreshing thanks to bright apple and lime aromas and flavors. It's more citrus than apple on the crisp finish.",Beacon Hill,@JoeCz
1495,1478,Australia,South Australia,South Australia,Wolf Blass,Wolf Blass 2005 Yellow Label Shiraz-Cabernet Sauvignon (South Australia),Shiraz-Cabernet Sauvignon,12.0,85,Joe Czerwinski,"This 60-40 blend features gentle aromas of vanilla and cassis in a medium-bodied, creamy-smooth format. It's not powerful or complex, but offers pure cassis and vanilla flavors tinged with chocolate on the finish. Good value.",Yellow Label,@JoeCz
1664,1649,Australia,Western Australia,Margaret River,Xanadu,Xanadu 2015 Exmoor Sauvignon Blanc-Semillon (Margaret River),Sauvignon Blanc-Semillon,16.0,85,Joe Czerwinski,"This shows some pungent, boxwood-like scents up front, followed by modest passion fruit and a bit of citrus, falling away on the finish. Drink now.",Exmoor,@JoeCz
1719,1706,Australia,Australia Other,South Eastern Australia,Tyrrell's,Tyrrell's 2006 Lost Block Chardonnay (South Eastern Australia),Chardonnay,14.0,86,Joe Czerwinski,"This medium-bodied Chardonnay features ample apple, pear and pineapple fruit that comes across as pleasant and mouthfilling, if also a bit one-dimensional. Still, it represents a reasonable value.",Lost Block,@JoeCz
1736,1723,Australia,South Australia,McLaren Vale,Brick Road,Brick Road 2005 Nine Gums Vineyard Shiraz (McLaren Vale),Shiraz,30.0,85,Joe Czerwinski,"Tart blackberry and vanilla flavors mark this bold Shiraz that shows its 14.5% alcohol. There's a rubbery note on the nose that's a bit distracting but should be taken care of by a quick decanting, while black olive and coffee notes emerge on the slightly warm finish.",Nine Gums Vineyard,@JoeCz
1903,1886,Australia,South Australia,Padthaway,Henry's Drive Vignerons,Henry's Drive Vignerons 2008 Reserve Shiraz (Padthaway),Shiraz,50.0,93,Joe Czerwinski,"Big, bold and structured, this is a dry yet mouthwatering beast of a Shiraz, its blackberry, mocha and black olive notes held in check by firm tannins. Give it 3–4 years in the cellar, then drink it over the next several years.",Reserve,@JoeCz
1907,1890,Australia,South Australia,Langhorne Creek,Lake Breeze,Lake Breeze 2003 Follett Family Vineyards Cabernet Sauvignon (Langhorne Creek),Cabernet Sauvignon,20.0,89,Joe Czerwinski,"A product of a hot, short growing season, Lake Folly's 2003 Cabernet Sauvignon shows some slightly overripe notes of cola and prune, but also features a high degree of richness allied to a broad, mouthfilling texture. It lacks nuance, but it is a big, flavorful mouthful that ends with hints of coffee and chocolate. Drink now–2010.",Follett Family Vineyards,@JoeCz
1908,1891,Australia,South Australia,Adelaide Hills,Longview,Longview 2006 Devils Elbow Single Vineyard Cabernet Sauvignon (Adelaide Hills),Cabernet Sauvignon,25.0,89,Joe Czerwinski,"Softer and more approachable than the winery's powerful 2005, this wine offers lush plum, leather and loam notes, accented by a touch of cracked pepper. It's full-bodied and creamy-textured, with a soft finish that invites another sip. Drink now–2012.",Devils Elbow Single Vineyard,@JoeCz
1911,1894,Australia,South Australia,Barossa Valley,Craneford,Craneford 2005 Allyson Parsons Cabernet Sauvignon (Barossa Valley),Cabernet Sauvignon,18.0,89,Joe Czerwinski,"Sourced largely from the northern end of the region, this features bold blackberry flavors slightly reminiscent of preserves and marked by dark shadings of cola and chocolate. Yet despite the superripe flavors, the wine remains well structured and retains some slightly herbal overtones. Drink now–2012.",Allyson Parsons,@JoeCz
1948,1930,Australia,Western Australia,Margaret River,Robert Oatley,Robert Oatley 2011 Finisterre Chardonnay (Margaret River),Chardonnay,30.0,87,Joe Czerwinski,"This is a soft, appealing Chardonnay layered with toasted marshmallow and superripe peach. It's round in the mouth and lushly textured, then turns citrusy—almost metallic—on the finish.",Finisterre,@JoeCz
1951,1934,Australia,South Australia,Barossa Valley,Mitolo,Mitolo 2009 Reiver Shiraz (Barossa Valley),Shiraz,53.0,87,Joe Czerwinski,"Mint marks the nose of this otherwise darkly attractive wine. Notes of mocha and plum nicely set up the wine, as do the supple tannins, but then there's a jarring edge of prickly acidity that cuts across the palate and disrupts the flow. There are some nice parts here that don't quite come together.",Reiver,@JoeCz
2156,2137,Australia,South Australia,McLaren Vale,Angove,Angove 2014 Family Crest Chardonnay (McLaren Vale),Chardonnay,21.0,84,Joe Czerwinski,"Brassy in color and woody in aroma, this Chardonnay is a pleasant enough drink, offering ample weight and modest pear and citrus flavors. Drink it through 2017.",Family Crest,@JoeCz
2542,2517,Australia,South Australia,Barossa Valley,Torbreck,Torbreck 2010 RunRig Shiraz-Viognier (Barossa Valley),Shiraz-Viognier,225.0,94,Joe Czerwinski,"A perplexing wine to evaluate, the 2010 RunRig (97% Shiraz and 3% Viognier) evolves rapidly once poured, going from slightly stewed and overoaked to a wine that shows considerable class within 20 minutes or so. Aromas and flavors of brown sugar, mocha and roasted meat give way to raspberry compote, while the creamy texture and supple tannins conceal the wine's high alcohol level with ease.",RunRig,@JoeCz
2611,2587,Australia,Western Australia,Frankland River,Frankland Estate,Frankland Estate 2012 Poison Hill Vineyard Riesling (Frankland River),Riesling,35.0,90,Joe Czerwinski,"The most aromatically complex of the FE 2012 Rieslings, the Poison Hill offers beguiling scents of tangerine sherbet and Earl Grey tea. It's almost too perfumy for its soft, medium-bodied structure and slightly dusty-textured finish, but those floral elements are also its appeal. Drink now–2020+.",Poison Hill Vineyard,@JoeCz
2618,2594,Australia,Western Australia,Geographe,Hope Estate,Hope Estate 2010 The Ripper Shiraz (Geographe),Shiraz,20.0,90,Joe Czerwinski,"Made in a superripe, dense, almost fudge-like style, The Ripper tastes like a plummy, chocolaty Christmas cake with slightly coarse tannins on the finish. It's Port-like in flavor, but without the heat from elevated alcohol. Drink it over the next few years.",The Ripper,@JoeCz
2622,2598,Australia,Western Australia,Western Australia,Plantagenet,Plantagenet 2010 Omrah Shiraz (Western Australia),Shiraz,20.0,90,Joe Czerwinski,"An easy-drinking introduction to Shiraz from Western Australia's Great Southern region, the 2010 Omrah offers gentle cherry and cedar notes accented by hints of chocolate and roasted meat. It's medium to full bodied, with a round, supple mouthfeel that ends in a wash of softly dusty tannins.",Omrah,@JoeCz
2624,2600,Australia,Western Australia,Margaret River,Robert Oatley,Robert Oatley 2009 Finisterre Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,30.0,90,Joe Czerwinski,"There's a lot to like in this effort: ample dark fruit, complex notions of tea leaves and dried grasses, and a richly textured, long finish. The wine is medium bodied and not very tannic, making it easy to sip repeatedly. Drink it over the next 8–10 years.",Finisterre,@JoeCz
2635,2611,Australia,Western Australia,Western Australia,West Cape Howe,West Cape Howe 2009 Book Ends Cabernet Sauvignon (Western Australia),Cabernet Sauvignon,21.0,90,Joe Czerwinski,"This is a solid value in the world of Cabernet. Textbook notes of cassis and mint lead the way, framed by supple tannins and dressed up with hints of graham crackers and black tea. This is medium to full in weight, with a mouthwatering, velvety finish that belies its price point. Drink now–2020+.",Book Ends,@JoeCz
2650,2631,Australia,South Australia,McLaren Vale,Hesketh,Hesketh 2008 Usual Suspects Shiraz (McLaren Vale),Shiraz,20.0,90,Joe Czerwinski,"A drink-now style of warming Shiraz, with plenty of weight and richness, soft tannins and flavors that artfully combine sour plum, cracked pepper, rare beef and chocolate. Drink it over the next few years.",Usual Suspects,@JoeCz
2659,2640,Australia,Tasmania,Tasmania,Jansz,Jansz NV Premium Brut Rosé Sparkling (Tasmania),Sparkling Blend,22.0,90,Joe Czerwinski,"This pale salmon rosé is a reliable sparkling wine at a very good price. The latest NV release is toasty on the nose, then offers just faint hints of peach or berry flavors. It's lithe yet creamy on the palate, with a long finish.",Premium Brut Rosé,@JoeCz
2661,2642,Australia,South Australia,Adelaide Hills,Jacob's Creek,Jacob's Creek 2009 Reserve Chardonnay (Adelaide Hills),Chardonnay,13.0,89,Joe Czerwinski,"Each Jacob's Creek Reserve wine is now sourced from a specific region, and this Chardonnay shows solid improvement as a result. It's medium in body, with notes of grilled pineapple and sweet corn and a brisk, citrusy finish. Drink it over the next 6–9 months.",Reserve,@JoeCz
2979,2956,Australia,Western Australia,Margaret River,Leeuwin Estate,Leeuwin Estate 2003 Prelude Vineyards Cabernet Merlot (Margaret River),Cabernet Merlot,29.0,86,Joe Czerwinski,"There's a tobacco and tomato leaf character that gives this an almost floral aroma, but also simpler cassis and cherry fruit. Some herbal notes persist on the palate, but this medium-bodied wine avoids the vegetal side of things, finishing fresh and clean.",Prelude Vineyards,@JoeCz
3005,2981,Australia,South Australia,Coonawarra,Penley Estate,Penley Estate 2012 Special Select Shiraz (Coonawarra),Shiraz,50.0,91,Joe Czerwinski,"You've got to like oak to appreciate this wine, which is presently dominated by scents of vanilla, mocha and toasted coconut. It's full bodied and velvety in texture, with hints of black cherry lurking in the background.",Special Select,@JoeCz
3006,2982,Australia,South Australia,Coonawarra,Penley Estate,Penley Estate 2013 Hyland Shiraz (Coonawarra),Shiraz,20.0,91,Joe Czerwinski,"Mouthfilling and round, this wine's savory notes of roasted meat, mocha and cracked pepper frame plummy fruit. Vanilla creeps in on the long, supple finish. Drink now through 2025.",Hyland,@JoeCz
3017,2993,Australia,South Australia,Padthaway,Henry's Drive Vignerons,Henry's Drive Vignerons 2013 Pillar Box Shiraz (Padthaway),Shiraz,22.0,91,Joe Czerwinski,"A solid value, the 2013 Pillar Box offers oodles of blackberry and plum fruit, framed by vanilla and accented by mocha. It's creamy-velvety in texture, with a rich long finish. Drink now through 2025.",Pillar Box,@JoeCz
3103,3080,Australia,South Australia,Barossa Valley,Torbreck,Torbreck 2007 Descendant Shiraz-Viognier (Barossa Valley),Shiraz-Viognier,105.0,94,Joe Czerwinski,"Full bodied and concentrated without being overly heavy or tannic, this is a stunning blend of Shiraz (92%) and Viognier (8%). Hints of roasted or grilled meat and black olive balance the bold blackberry fruit, leaving behind a lingering finish of warmth and dusty cocoa. Drink now–2020.",Descendant,@JoeCz
3115,3092,Australia,Victoria,Yarra Valley,Marquee,Marquee 2008 Signature Chardonnay (Yarra Valley),Chardonnay,15.0,88,Joe Czerwinski,"A lively, balanced wine at an accessible price point, Marquee's 2008 Signature Chard boasts aromas of smoke, vanilla and stone fruit and flavors that follow along similar lines, with white peach and pineapple coming to the fore. Drink now–2012.",Signature,@JoeCz
3122,3099,Australia,South Australia,Coonawarra,Penfolds,Penfolds 2007 Bin 128 Shiraz (Coonawarra),Shiraz,26.0,88,Joe Czerwinski,"From a cooler region than its Bin 28 stablemate, Penfolds' 2007 Bin 128 is a medium-bodied Shiraz that features touches of peppery spice, raspberry-cherry fruit and a darker edge of chocolate and coffee. The tannins are supple without being soft, giving this a drinking window that should extend through 2017 or so.",Bin 128,@JoeCz
3299,3277,Australia,South Australia,Barossa Valley,Turkey Flat,Turkey Flat 2005 The Turk Shiraz-Grenache-Cabernet-Mourvèdre Red (Barossa Valley),Red Blend,18.0,87,Joe Czerwinski,"This blend is mainly Shiraz (50%) and Grenache (28%), which accounts for the wine's ample, plummy fruit flavors. Accents of grilled meat and slightly briary overtones add complexity, and the wine finishes dry and savory. Drink now-2012.",The Turk Shiraz-Grenache-Cabernet-Mourvèdre,@JoeCz
3310,3288,Australia,South Australia,McLaren Vale,Gemtree,Gemtree 2006 Uncut Shiraz (McLaren Vale),Shiraz,24.0,87,Joe Czerwinski,"Smoky, cedary notes nicely complement the blueberry fruit in this McLaren Vale Shiraz. It's pretty full on the palate, with a slightly syrupy texture that extends the flavors through a mouthwatering finish. Drink now-2012.",Uncut,@JoeCz
3388,3363,Australia,South Australia,Eden Valley,Thorn Clarke,Thorn Clarke 2014 Eden Trail Riesling (Eden Valley),Riesling,18.0,92,Joe Czerwinski,"Lean, tight and austere, this textbook Eden Valley Riesling should develop well over the next 5–8 years, reaching maturity around 2022. Scents of petrichor and tangerine ease into tart lemon-lime notes on the palate, ending tart and mouthpuckering.",Eden Trail,@JoeCz
3476,3451,Australia,South Australia,Adelaide,Wirra Wirra,Wirra Wirra 2015 Scrubby Rise White (Adelaide),White Blend,15.0,88,Joe Czerwinski,"An innovative blend of Sauvignon Blanc (53%), Semillon (37%) and Viognier (10%), this medium-bodied wine delivers a mix of figs and melons, underscored by a silky texture. Ready to drink.",Scrubby Rise,@JoeCz
3484,3459,Australia,South Australia,Adelaide Hills,Riposte,Riposte 2015 The Dagger Pinot Noir (Adelaide Hills),Pinot Noir,21.0,88,Joe Czerwinski,"Pretty aromas of cherry and plum blossoms give way to fully ripe, slightly confectionary fruit, backed by hints of mocha. This medium-bodied Pinot Noir is supple in texture and softly dusty on the finish, making it an easy one to drink over the next couple of years.",The Dagger,@JoeCz
3559,3534,Australia,South Australia,McLaren Vale,D'Arenberg,D'Arenberg 2009 The Coppermine Road Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,65.0,92,Joe Czerwinski,"D'Arenberg's The Coppermine Road is always structured—sometimes to excess—but the 2009 vintage seems to have the requisite flesh to age successfully. Cedar, chocolate and cassis notes surround a firm core of dusty tannins. Drink from 2015–2025, and possibly beyond.",The Coppermine Road,@JoeCz
3572,3547,Australia,Western Australia,Frankland River,Frankland Estate,Frankland Estate 2012 Isolation Ridge Vineyard Riesling (Frankland River),Riesling,40.0,92,Joe Czerwinski,"An austere Riesling in the traditional Australian style, the 2012 Isolation Ridge Riesling appears destined to have a long life. Penetrating lime aromas lead into a palate that's high strung and tight, but lined with mouthwatering fruit. An electric vibrancy of citrus and wet stones lingers on the finish. Drink now–2030.",Isolation Ridge Vineyard,@JoeCz
3579,3554,Australia,South Australia,Barossa,Thorn Clarke,Thorn Clarke 2010 William Randell Shiraz (Barossa),Shiraz,50.0,92,Joe Czerwinski,"This luxury cuvée from Thorne Clarke combines ripe berries with cinnamon and clove, then adds dollops of vanilla and chocolate, yet never seems overly sweet. Likewise, it's full bodied and rich, yet never goes over the top, maintaining a sense of freshness and structure. Drink now–2020, and possibly beyond.",William Randell,@JoeCz
3620,3594,Australia,Australia Other,South Eastern Australia,De Bortoli,De Bortoli NV Emeri Moscato Sparkling (South Eastern Australia),Sparkling Blend,13.0,86,Joe Czerwinski,"Pale straw with a touch of green to its hue, this is a soft, easygoing Moscato redolent of oranges and pineapples. Finishes fresh and clean despite considerable sweetness.",Emeri Moscato,@JoeCz
3621,3595,Australia,Australia Other,South Eastern Australia,De Bortoli,De Bortoli NV Emeri Pink Moscato Sparkling (South Eastern Australia),Sparkling Blend,13.0,86,Joe Czerwinski,"A pleasant, sweet little sipper, with more richness than many Australian Moscatos, balanced through a slight touch of bitterness on the finish. Orange and spice notes are joined by just a faint hint of berry fruit.",Emeri Pink Moscato,@JoeCz
3624,3598,Australia,South Australia,Padthaway,Henry's Drive Vignerons,Henry's Drive Vignerons NV The Scarlet Letter Sparkling Shiraz (Padthaway),Shiraz,20.0,86,Joe Czerwinski,"Really dark, vibrant purple in color, with oak-inflected notes of cedar, vanilla and chocolate layered over black cherries. It's on the soft, slightly sweet side, but offers an easy-to-drink mouthful of sparkling Shiraz.",The Scarlet Letter Sparkling,@JoeCz
3974,3947,Australia,Australia Other,South Eastern Australia,De Bortoli,De Bortoli 2009 Deen De Bortoli Vat 10 Pinot Noir (South Eastern Australia),Pinot Noir,15.0,83,Joe Czerwinski,"Earthy and tealike, with those attributes framed by charred, nutty oak. It's supple enough to be balanced for immediate consumption.",Deen De Bortoli Vat 10,@JoeCz
3976,3949,Australia,Australia Other,South Eastern Australia,Yellow Tail,Yellow Tail NV Bubbles Sparkling White Wine Sparkling (South Eastern Australia),Sparkling Blend,10.0,83,Joe Czerwinski,"Yellow Tail's sparkler is an aromatic blend of Semillon, Traminer, Viognier and Trebbiano that manages to be largely neutral on the palate at the same time it's perfumed on the nose. Frothy and off dry.",Bubbles Sparkling White Wine,@JoeCz
3979,3952,Australia,Australia Other,South Eastern Australia,De Bortoli,De Bortoli 2008 DB Family Selection Shiraz (South Eastern Australia),Shiraz,9.0,83,Joe Czerwinski,"Herbal and green peppercornish, with dark berry flavors and herbal-vegetal notes. Light and crisp; complex for the price.",DB Family Selection,@JoeCz
4125,4099,Australia,South Australia,Barossa,Yalumba,Yalumba 2014 The Y Series Riesling (Barossa),Riesling,12.0,86,Joe Czerwinski,"Spicy and floral on the nose, this is surprisingly round and soft for an Australian Riesling, but still attractive. Try it young as an apéritif, where the gentleness will subtly prime your palate for things to come.",The Y Series,@JoeCz
4163,4137,Australia,South Australia,McLaren Vale,D'Arenberg,D'Arenberg 2010 The Derelict Vineyard Grenache (McLaren Vale),Grenache,29.0,90,Joe Czerwinski,"Peppers and cloves accent cherry-berry fruit on the nose of this single-vineyard wine. On the palate, it's full bodied and deep and silky in texture, with a long spice-inflected finish.",The Derelict Vineyard,@JoeCz
4360,4333,Australia,Victoria,Yarra Valley,Yering Station,Yering Station 2006 Reserve Pinot Noir (Yarra Valley),Pinot Noir,60.0,88,Joe Czerwinski,"Usually one of Yarra's top Pinots, the 2006 YS Reserve is a medium-bodied, rounded wine with extremely soft tannic structure. The aromas hint at brown sugar, coffee and cola, with flavors of roasted root vegetables and a touch of mushroom. Supple and silky on the finish. Drink now.",Reserve,@JoeCz
5118,5088,Australia,Western Australia,Western Australia,Plantagenet,Plantagenet 2011 Hazard Hill Sauvignon Blanc-Semillon (Western Australia),Sauvignon Blanc-Semillon,13.0,86,Joe Czerwinski,"This starts off with promisingly vibrant aromas of passion fruit and pink grapefruit, but seems a bit weighty and thickly textured in the mouth. The fruit remains the bold centerpiece, while the finish shows some alcoholic warmth.",Hazard Hill,@JoeCz
5187,5156,Australia,South Australia,Clarendon,Clarendon Hills,Clarendon Hills 2007 Hickinbotham Grenache (Clarendon),Grenache,45.0,87,Joe Czerwinski,"The 2007 Hickinbotham features attractive scents of ground spices, leather and red cherries, but doesn't seem to have the richness and depth of CH's other Grenaches this year. Tart cherry-berry fruit fades into finely textured tannins on the finish. Drink now–2015.",Hickinbotham,@JoeCz
