,index,country,province,region_1,winery,title,variety,price,points,taster_name,description,designation,taster_twitter_handle
107,105,Italy,Tuscany,Toscana,Marchesi Antinori,Marchesi Antinori 2015 Villa Antinori White (Toscana),White Blend,14.0,87,Kerin O’Keefe,"Made predominantly with Trebbiano and Malvasia, along with Pinot Bianco, Pinot Grigio and Riesling Renano, this has inviting aromas of ripe orchard fruit and citrus. The round fruity palate doles out ripe apricot, orange zest and juicy pineapple.",Villa Antinori,@kerinokeefe
108,106,Italy,Tuscany,Toscana,Marchesi de' Frescobaldi,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,30.0,87,Kerin O’Keefe,"A blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Sangiovese, this pleasant red has aromas of dark-skinned fruit, toast and a whiff of espresso. The light-bodied, straightforward palate offers cherry, red currant and a hint of light spice alongside zesty acidity and polished tannins.",Castiglioni,@kerinokeefe
109,107,Italy,Tuscany,Toscana,Marchesi de' Frescobaldi,Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),Vermentino,18.0,87,Kerin O’Keefe,"Aromas of yellow stone fruit, white spring flower and a whiff of citrus lift out of the glass. The soft round palate offers ripe apricot, yellow peach and a hint of candied nectarine zest.",Ammiraglia Massovivo,@kerinokeefe
111,109,Italy,Tuscany,Toscana,Ornellaia,Ornellaia 2014 Le Volte Red (Toscana),Red Blend,30.0,87,Kerin O’Keefe,"An easy-drinking blend of Merlot, Sangiovese and Cabernet Sauvignon, this opens with aromas of red berry, toast, herb and roasted coffee bean. The soft palate offers black cherry, mocha and a hint of coffee alongside bright acidity and silky tannins. Drink now.",Le Volte,@kerinokeefe
114,112,Italy,Tuscany,Toscana,Podere Ciona,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,15.0,87,Kerin O’Keefe,"Made with 90% Merlot and 10% Alicante, this easygoing red opens with delicate aromas suggesting red currant and baking spice. The straightforward palate delivers red plum and clove alongside soft tannins. Enjoy soon.",Semifonte,@kerinokeefe
115,113,Italy,Tuscany,Toscana,Poggioventoso,Poggioventoso 2015 Poetico White (Toscana),White Blend,19.0,87,Kerin O’Keefe,"Made with Vermentino, Malvasia di Candia Aromatica and Petit Manseng, this easy-drinking white has aromas of fragrant white wild flower, citrus and white stone fruit. The ripe round palate offers apricot, lime and a hint of saline.",Poetico,@kerinokeefe
120,118,Italy,Tuscany,Toscana,Tenuta Forconi,Tenuta Forconi 2013 Toscano Red (Toscana),Red Blend,80.0,87,Kerin O’Keefe,"A blend of 50% Cabernet Sauvignon, 30% Merlot and 20% Sangiovese, this offers aromas of black currant, caramel and mocha. The dense palate delivers toast, leather and cedar alongside teeth-coating tannins that grip the finish.",Toscano,@kerinokeefe
162,158,Italy,Tuscany,Chianti Classico,Castello di Gabbiano,Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,38.0,91,Kerin O’Keefe,"Baked plum, Asian spice, vanilla and menthol aromas carry the nose. The elegantly structured palate offers fleshy black cherry, licorice, mint and well-integrated French oak alongside fine-grained tannins that lend firm, polished support. A coffee note marks the finish.",Bellezza Gran Selezione,@kerinokeefe
206,201,Italy,Northeastern Italy,Alto Adige,Terlan,Terlan 2014 Nova Domus Riserva White (Alto Adige),White Blend,62.0,90,Kerin O’Keefe,"Made with 60% Pinot Bianco, 30% Chardonnay and 10% Sauvignon Blanc, this boasts appealing aromas of acacia flower, nectarine and Alpine herb. The elegant palate delivers juicy Gala apple, yellow peach and a touch of ginger alongside fresh acidity.",Nova Domus Riserva,@kerinokeefe
226,221,Italy,Northeastern Italy,Alto Adige,St. Pauls,St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige),Pinot Bianco,40.0,90,Kerin O’Keefe,"This opens with enticing aromas of chamomile flower, white peach and a whiff of Alpine herb. The elegant palate offers McIntosh apple, candied lemon and a vein of energizing mineral. Fresh acidity lends balance.",Passion Riserva,@kerinokeefe
287,282,Italy,Tuscany,Toscana,I Giusti e Zanza,I Giusti e Zanza 2009 Dulcamara Red (Toscana),Red Blend,41.0,92,Kerin O’Keefe,"This delicious blend of Cabernet Sauvignon, Merlot and Petit Verdot opens with an intense, brooding fragrance of dark fruit, spice and leather. The palate delivers a concentrated black-cherry flavor that's framed by big, chewy tannins and  punctuated by spicy accents of white and black pepper, licorice and pipe. Drink 2015–2024.",Dulcamara,@kerinokeefe
354,350,Italy,Piedmont,Barolo,Cavallotto,Cavallotto 2010 Vignolo Riserva  (Barolo),Nebbiolo,150.0,97,Kerin O’Keefe,"After a few minutes in the glass, this stunning wine opens up to reveal classic Nebbiolo aromas of leather, tilled soil, underbrush, fragrant blue flower and ripe berry. The juicy concentrated palate dishes out layers of succulent black cherry, crushed raspberry, anise and pipe tobacco framed in firm, velvety tannins. Drink 2022–2035.",Vignolo Riserva,@kerinokeefe
365,361,Italy,Piedmont,Barolo,Bel Colle,Bel Colle 2012 Simposio  (Barolo),Nebbiolo,60.0,95,Kerin O’Keefe,"Enticing scents of ripe berry, underbrush, grilled herb and eucalyptus mingle together along with an underlying fragrance of rose petal. Elegant and fresh, the impeccably balanced palate delivers tart red cherry, cake spice, white pepper and mineral nuances alongside polished tannins. Drink 2018–2028.",Simposio,@kerinokeefe
370,366,Italy,Northeastern Italy,Alto Adige,Cantina Terlano,Cantina Terlano 2000 Vorberg Pinot Bianco (Alto Adige),Pinot Bianco,21.0,88,Joe Czerwinski,"This spends 12 months in oak and it shows: It offers aromas of liquid smoke and flavors of brown sugar, honey and caramel. The fruit is subdued, leaving the emphasis on the oak and mineral components. Try with rich but delicately flavored fish dishes or mild chèvres.",Vorberg,@JoeCz
375,371,Italy,Northeastern Italy,Alto Adige,Elena Walch,Elena Walch 2002 Castel Ringberg Sauvignon Blanc (Alto Adige),Sauvignon Blanc,23.0,88,Roger Voss,"Fragrant, aromatic, grassy aromas give way to fresh, crisp, green fruit and gooseberry flavors. Finishes lively and vibrant.",Castel Ringberg,@vossroger
376,372,Italy,Veneto,Soave,Gini,Gini 2002 Classico  (Soave),White Blend,10.0,88,Roger Voss,"A fresh, crisp style of Soave, brimming with green plum and light acidity. It has concentration and a light touch in equal measure.",Classico,@vossroger
377,373,Italy,Northeastern Italy,Collio,Borgo Conventi,Borgo Conventi 2002 I Fiori del Borgo Sauvignon Blanc (Collio),Sauvignon Blanc,15.0,88,Roger Voss,"Crisp, green, grassy wine with fresh acidity and herbeceous character. It is very New World with its tropical flavors and open, forward fruit.",I Fiori del Borgo,@vossroger
380,376,Italy,Northeastern Italy,Colli Orientali del Friuli,Volpe Pasini,Volpe Pasini 2002 Zuc de Volpe Pinot Grigio (Colli Orientali del Friuli),Pinot Grigio,18.0,88,Roger Voss,"A well-judged, well-structured wine that balances fresh, crisp and light fruit against flavors of peaches, almonds and cinnamon. It will be better in two or three years' time.",Zuc de Volpe,@vossroger
383,379,Italy,Northeastern Italy,Trentino,La Vis,La Vis 2001 Bianco dei Sorni White (Trentino),White Blend,15.0,88,Joe Czerwinski,"This blend of Chardonnay, Nosiola and Pinot Bianco offers up apples and cream on the nose, along with flavors of peach and citrus. It's a comfortable mix of fruit that finishes lively and fresh, making it a fine apéritif.",Bianco dei Sorni,@JoeCz
385,381,Italy,Veneto,Bianco di Custoza,Fratelli Zeni,Fratelli Zeni 2000 Vigne Alte  (Bianco di Custoza),White Blend,11.0,88,Joe Czerwinski,It's testament to this wine's balance that it remains so alive and fresh long after many other Biancos have faded. Intensely mineral aromas mix with notes of smoke and fresh apples; the flavors are earthy and hint at mineral oil. Long on the finish. Best Buy.,Vigne Alte,@JoeCz
387,383,Italy,Veneto,Valdadige,Tommasi,Tommasi 2001 Vigneto Santa Cecilia Chardonnay (Valdadige),Chardonnay,9.0,88,Joe Czerwinski,"This lovely Chardonnay has just the right blend of juicy peaches and subtle herbs and flowers to make it easy to drink, yet interesting enough to hold your attention. Finishes long and mouthwatering.",Vigneto Santa Cecilia,@JoeCz
388,384,Italy,Northeastern Italy,Alto Adige,San Michele Eppan,San Michele Eppan 2002 Sanct Valentin Gewürztraminer (Alto Adige),Gewürztraminer,30.0,88,Roger Voss,"Aromas of roses, pepper and spices make this an enticing wine. On the palate, it is ripe, soft, full-bodied and rich, lacking acidity, but otherwise classic Gewürztraminer.",Sanct Valentin,@vossroger
393,389,Italy,Northeastern Italy,Alto Adige,Cantina Terlano,Cantina Terlano 2002 Terlano Classico White (Alto Adige),White Blend,15.0,88,Joe Czerwinski,"A blend of grapes, so maybe it is not surprising that the aromas and flavors are a blend: melons, pears and limes, all presented with great freshness and verve alongside a rich texture. Editors' Choice.",Terlano Classico,@JoeCz
438,434,Italy,Piedmont,Barolo,Revello Fratelli,Revello Fratelli 2012 Rocche dell'Annunziata  (Barolo),Nebbiolo,89.0,89,Kerin O’Keefe,"Coffee, toasted oak, coconut and raspberry confiture aromas lead the way. On the dense palate, dark chocolate, oak and licorice accent fleshy black cherry while fine-grained tannins provide support.",Rocche dell'Annunziata,@kerinokeefe
440,436,Italy,Piedmont,Gavi,Tenuta La Marchesa,Tenuta La Marchesa 2015 Gold Label  (Gavi),Cortese,15.0,89,Kerin O’Keefe,"Aromas of apricot and white spring flower lift out of the glass. The apricot note follows through to the palate, along with yellow peach, honeydew melon and almond, all framed in bright acidity. This one closes on a flinty note.",Gold Label,@kerinokeefe
449,445,Italy,Sicily & Sardinia,Etna,Fattorie Romeo del Castello,Fattorie Romeo del Castello 2015 Vigorosa Rosato Nerello Mascalese (Etna),Nerello Mascalese,28.0,88,Kerin O’Keefe,"Vibrant and savory, this has aromas of red berry, blue flower and a whiff of baking spice. The bright palate doles out red cherry, juicy strawberry, and star anise alongside bright acidity that gives it a crisp finish.",Vigorosa Rosato,@kerinokeefe
454,449,Italy,Lombardy,Franciacorta,Majolini,Majolini 2006 Pas Dosé Aligi Sassu Chardonnay (Franciacorta),Chardonnay,39.0,92,Kerin O’Keefe,"Aligi Sassu is a lovely sparkler without added sugar or liqueur. It offers a fragrance of white flower, lemon drop and nut. The palate delivers citrus, apple and almond flavors along with refined, persistent bubbles and a bone-dry finish.",Pas Dosé Aligi Sassu,@kerinokeefe
456,451,Italy,Tuscany,Vino Nobile di Montepulciano,Montemercurio,Montemercurio 2007 Messaggero  (Vino Nobile di Montepulciano),Sangiovese,35.0,92,Kerin O’Keefe,"Here's an enticing Vino Nobile offering aromas of underbrush, tobacco leaf, ripe cherry and spice. The palate delivers succulent black cherry, plum, cinnamon and nutmeg along with velvety tannins. Although it shows the warmth of the vintage, it still retains elegance and class. Delicatio Wines, Golden Vines.",Messaggero,@kerinokeefe
463,458,Italy,Lombardy,Franciacorta,Bellavista,Bellavista 2006 Gran Cuvée Pas Operé Sparkling (Franciacorta),Sparkling Blend,50.0,92,Kerin O’Keefe,"From one of Franciacorta's leading producers, Gran Cuvée Pas Operé offers an enticing fragrance of acacia flower, white flowers and beeswax. The creamy palate delivers apple, nut, spice, thyme and sage along with fine, persistent effervescence.",Gran Cuvée Pas Operé,@kerinokeefe
471,465,Italy,Veneto,Amarone della Valpolicella,Valentina Cubi,Valentina Cubi 2008 Morar  (Amarone della Valpolicella),Red Blend,69.0,92,Kerin O’Keefe,"Morar is a spicy Amarone with a fragrance of raisin, baked plum, tobacco and black pepper. The palate delivers lush black cherry and raspberry flavors mingled with intense white pepper, clove and nutmeg notes. It's smooth and rich with enough freshness to make this a perfect match for seasoned cheeses or roasted red meat.",Morar,@kerinokeefe
549,542,Italy,Northeastern Italy,Alto Adige Valle Isarco,Abbazia di Novacella,Abbazia di Novacella 2012 Praepositus Passito Kerner (Alto Adige Valle Isarco),Kerner,30.0,93,Kerin O’Keefe,"Heady scents of pressed jasmine, honey and candied orange waft out of the glass. The concentrated but elegant palate provides layers of mature apricot, lemon drop and ginger brightened by fresh acidity. It's vibrant and well balanced, with a persistent finish.",Praepositus Passito,@kerinokeefe
557,549,Italy,Piedmont,Barolo,Brandini,Brandini 2011 Resa 56  (Barolo),Nebbiolo,90.0,93,Kerin O’Keefe,"Scents of perfumed dark berry, rose, cake spice and aromatic herb unfold on this structured red. On the full-bodied palate, notes of chopped mint, mocha and white pepper accent a core of mature black cherry. It's young and assertive but well balanced, with firm tannins and bright acidity. Drink 2018–2026.",Resa 56,@kerinokeefe
670,662,Italy,Piedmont,Barolo,Palladino,Palladino 2011 Ornato  (Barolo),Nebbiolo,65.0,90,Kerin O’Keefe,"Aromas of red berry, rose and cake spices lead the way on this ripe, forward Barolo. The round palate offers black cherry, raspberry, licorice and white pepper alongside polished tannins. It's already extremely accessible, so don't leave it in the cellar for too long. Drink 2016–2021.",Ornato,@kerinokeefe
671,664,Italy,Piedmont,Dogliani Superiore,Pecchenino,Pecchenino 2013 Siri d'Jermu  (Dogliani Superiore),Dolcetto,35.0,90,Kerin O’Keefe,"This structured Dolcetto offers aromas of blue- and black-skinned fruit, violet, chopped herbs and kitchen spices. The vibrant palate delivers black cherry, black currant, clove, tobacco and anise while firm, refined tannins provide the framework.",Siri d'Jermu,@kerinokeefe
672,665,Italy,Piedmont,Barbera d'Alba,Poderi Colla,Poderi Colla 2013 Costa Bruna  (Barbera d'Alba),Barbera,25.0,90,Kerin O’Keefe,"Fruity aromas of mature berry mingle with notes of dark cooking spice and chopped herbs on this savory, medium-bodied red. The round, concentrated palate offers juicy black cherry, crushed raspberry, clove and tobacco framed in firm acidity and a velvety texture.",Costa Bruna,@kerinokeefe
684,677,Italy,Tuscany,Cortona,Baracchi Riccardo,Baracchi Riccardo 2011 Smeriglio Riserva Syrah (Cortona),Syrah,50.0,90,Kerin O’Keefe,"Full-bodied and concentrated, this opens with aromas of crushed black plum, spicy blueberry, vanilla and dried sage. The dense, warm palate delivers dried black cherry, blackberry extract, oak and black pepper alongside velvety tannins. The soft acidity shows the heat of the vintage, so enjoy soon.",Smeriglio Riserva,@kerinokeefe
685,678,Italy,Tuscany,Cortona,Baracchi Riccardo,Baracchi Riccardo 2012 Smeriglio Syrah (Cortona),Syrah,35.0,90,Kerin O’Keefe,"Aromas of dark-skinned fruit, cedar and allspice lead the nose on this smooth, full-bodied red. The structured palate doles out mature black currant, black cherry, peppercorn and espresso that follow through to the finish. Soft acidity and ripe, firm tannins provide the framework. Drink 2016–2022.",Smeriglio,@kerinokeefe
690,682,Italy,Piedmont,Piemonte,Castello di Neive,Castello di Neive 2011 Metodo Classico Pinot Nero (Piemonte),Pinot Nero,45.0,90,Kerin O’Keefe,"Made entirely with Pinot Nero, this elegant sparkler offers aromas of rose and red berry. The vibrant, focused palate delivers cherry, strawberry and a hint of cake spices alongside bright acidity and an elegant perlage.",Metodo Classico,@kerinokeefe
691,683,Italy,Tuscany,Colli della Toscana Centrale,Castello di Querceto,Castello di Querceto 2010 Cignale Red (Colli della Toscana Centrale),Red Blend,70.0,90,Kerin O’Keefe,"Aromas of underbrush, charred earth and a hint of cedar lead the nose on this blend of Cabernet Sauvignon and 10% Merlot. The extracted palate delivers mature black currant, dried blackberry, espresso and black pepper alongside dusty tannins.",Cignale,@kerinokeefe
694,686,Italy,Piedmont,Barolo,Comm. G. B. Burlotto,Comm. G. B. Burlotto 2011 Acclivi  (Barolo),Nebbiolo,53.0,90,Kerin O’Keefe,"This opens with aromas of underbrush, leather, berry and a balsamic note. The forward palate offers dried cherry, white pepper, tobacco and the warmth of alcohol alongside firm tannins. Drink this sooner rather than later.",Acclivi,@kerinokeefe
700,692,Italy,Tuscany,Morellino di Scansano,Poggio Argentiera,Poggio Argentiera 2012 Capatosta  (Morellino di Scansano),Red Blend,35.0,91,Kerin O’Keefe,"Made with Sangiovese blended with 10% Ciliegiolo and 5% Alicante Bouschet, this savory wine opens with aromas of underbrush, ripe berry, tobacco leaf and Mediterranean herb. The vibrant, refined palate doles out juicy black cherry, crushed raspberry, orange peel, licorice and white pepper alongside supple tannins. It closes on a mineral note. Enjoy through 2020.",Capatosta,@kerinokeefe
703,695,Italy,Tuscany,Chianti Classico,Ruffino,Ruffino 2010 Riserva Ducale Oro Gran Selezione  (Chianti Classico),Red Blend,43.0,91,Kerin O’Keefe,"Aromas of violet, iris, forest floor, woodland berry and allspice lead the nose on this structured, savory wine. The concentrated palate delivers ripe black cherry, mocha, clove, tobacco and licorice alongside velvety tannins and fresh acidity. It's firm and well balanced.",Riserva Ducale Oro Gran Selezione,@kerinokeefe
735,725,Italy,Piedmont,Barolo,Paolo Manzone,Paolo Manzone 2012 Meriame  (Barolo),Nebbiolo,80.0,85,Kerin O’Keefe,"This has aromas that recall leafy underbrush, sawdust and menthol. The dense, oak-driven palate shows licorice, espresso, toast and a hint of bitter chocolate but the fruit has dried up. It abruptly ends on a green note of powdered sage.",Meriame,@kerinokeefe
750,739,Italy,Piedmont,Barolo,Marchesi di Barolo,Marchesi di Barolo 2009 Riserva  (Barolo),Nebbiolo,102.0,85,Kerin O’Keefe,"Roasted coffee bean and menthol aromas lead the nose while the evolved palate offers dark bitter chocolate, licorice and a toasted note. Showing the heat of the vintage, the fruit has largely dried up while astringent tannins lead to a bracing finish.",Riserva,@kerinokeefe
755,744,Italy,Piedmont,Barbaresco,Punset,Punset 2011 Campo Quadro Riserva  (Barbaresco),Nebbiolo,48.0,85,Kerin O’Keefe,"This opens with unusual aromas that recall minestrone soup, celery and glazed onion that carry over to the palate. It lacks fruit richness and is rather muddled, offering flavors reminiscent of sweet and sour sauce. Tasted both bottles, same notes.",Campo Quadro Riserva,@kerinokeefe
819,808,Italy,Central Italy,Verdicchio dei Castelli di Jesi Classico,Moncaro,Moncaro 2015 Le Vele  (Verdicchio dei Castelli di Jesi Classico),Verdicchio,32.0,90,Kerin O’Keefe,"Aromas of ripe orchard fruit and chopped herb jump out of the glass. The savory palate serves up juicy Bartlett pear, green apple, citrus and a mint note while a hint of white almond adds depth. Very appealing.",Le Vele,@kerinokeefe
836,826,Italy,Tuscany,Rosso di Montalcino,Tenuta San Giorgio,Tenuta San Giorgio 2012 Ciampoleto  (Rosso di Montalcino),Sangiovese,28.0,86,Kerin O’Keefe,"This wine brings together sensations of tilled earth, espresso, oak extract, coffee, overripe black plum and vanilla. The palate displays tightly packed tannins but it's low on fresh acidity so drink it soon.",Ciampoleto,@kerinokeefe
855,844,Italy,Sicily & Sardinia,Etna,Cottanera,Cottanera 2015 Bianco  (Etna),Carricante,24.0,90,Kerin O’Keefe,"Aromas of citrus, white stone fruit and a vegetal hint suggesting tomato leaf lead the way. The racy palate offers grapefruit, pineapple, fresh white peach and flinty mineral while a pleasantly bitter note closes the finish.",Bianco,@kerinokeefe
867,856,Italy,Southern Italy,Sannio,Fattoria La Rivolta,Fattoria La Rivolta 2015 Taburno Fiano (Sannio),Fiano,25.0,90,Kerin O’Keefe,"Scents of pressed white flower, orchard fruit, smoke, citrus and a whiff of nut lead the nose on this savory white. The round, medium-bodied palate offers mature pear, pineapple, peach and hazelnut while a note of flinty mineral lifts the finish.",Taburno,@kerinokeefe
872,861,Italy,Sicily & Sardinia,Etna,Graci,Graci 2015 Rosso  (Etna),Nerello Mascalese,30.0,90,Kerin O’Keefe,"Pressed wild flower, hay, fennel and ripe berry scents mingle together in the glass. The refreshing palate combines crushed strawberry, juicy red cherry, saline and a hint of baking spice alongside bright acidity.",Rosso,@kerinokeefe
916,904,Italy,Piedmont,Barbaresco,Boffa,Boffa 2013 Pajè  (Barbaresco),Nebbiolo,50.0,87,Kerin O’Keefe,"Aromas of leather, vineyard dust, dried violet and a whiff of pressed powder lead the nose. The simple palate isn't very expressive, showing sour red cherry and a hint of baking spice alongside close-grained tannins that dry out the finish.",Pajè,@kerinokeefe
929,917,Italy,Piedmont,Barolo,Deltetto,Deltetto 2012 Bussia  (Barolo),Nebbiolo,50.0,87,Kerin O’Keefe,"This has aromas suggesting grilled herb, toasted oak, espresso and a whiff of wet animal fur. The palate offers dried cherry, game, anisette and a green note of bitter sage alongside extremely astringent tannins.",Bussia,@kerinokeefe
930,918,Italy,Piedmont,Barolo,Diego Conterno,Diego Conterno 2012 Ginestra  (Barolo),Nebbiolo,50.0,87,Kerin O’Keefe,"This opens with aromas of toasted oak, roasted coffee bean and a whiff of sawdust. The bracing palate offers dried cherry, espresso and mocha alongside astringent tannins. Give the tannins another year or two to unwind then drink to capture the remaining fruit.",Ginestra,@kerinokeefe
968,955,Italy,Piedmont,Barolo,Bersano,Bersano 2012 Nirvasco  (Barolo),Nebbiolo,50.0,87,Kerin O’Keefe,"This offers scents and flavors that recall stewed prune, raisin and black pepper. It's still tight, with aggressive tannins that leave a firm clenching finish. Give it a few years to let the tannins unfurl then drink up to capture the remaining fruit.",Nirvasco,@kerinokeefe
969,956,Italy,Southern Italy,Greco di Tufo,Cantine di Marzo,Cantine di Marzo NV Anni Venti Metodo Classico  (Greco di Tufo),Greco,30.0,87,Kerin O’Keefe,"Here's a fun, informal sparkler that has aromas of citrus, orchard fruit and toast. The racy palate shows golden apple, pear, bitter almond and a lemon drop note.",Anni Venti Metodo Classico,@kerinokeefe
1026,1013,Italy,Sicily & Sardinia,Sicilia,Baglio di Pianetto,Baglio di Pianetto 2007 Cembali Nero d'Avola (Sicilia),Nero d'Avola,45.0,88,Kerin O’Keefe,"Aromas suggest oak, vanilla, bell pepper and cassis. The palate offers black cherry, cranberry, vanilla, mocha and oak alongside astringent, drying tannins.",Cembali,@kerinokeefe
1029,1016,Italy,Sicily & Sardinia,Sicilia,Casa di Grazia,Casa di Grazia 2011 Gradiva Collectio Nero d'Avola (Sicilia),Nero d'Avola,22.0,88,Kerin O’Keefe,"Aromas of ripe dark berry, blue flower and a hint of baking spice waft from the glass. On the palate, notes of graphite, licorice and touch of smoke add depth to the ripe black cherry flavors. Firm tannins provide support.",Gradiva Collectio,@kerinokeefe
1030,1017,Italy,Sicily & Sardinia,Sicilia,Casa di Grazia,Casa di Grazia 2013 Zahara Grillo (Sicilia),Grillo,22.0,88,Kerin O’Keefe,"Citrus, yellow apple, orange blossom and saline aromas take center stage. On the palate, notes of savory herb accent creamy apple and pear flavors that are brightened by fresh acidity and a mineral note.",Zahara,@kerinokeefe
1035,1022,Italy,Sicily & Sardinia,Sicilia,Cusumano,Cusumano 2013 Cubia Tenuta Ficuzza Insolia (Sicilia),Insolia,27.0,88,Kerin O’Keefe,"Made entirely with Insolia, this opens with subdued aromas of tropical fruit and white spring flower. The bright, linear palate offers passion fruit, peach, nectarine zest and a hint of ginger alongside crisp acidity.",Cubia Tenuta Ficuzza,@kerinokeefe
1049,1035,Italy,Sicily & Sardinia,Terre Siciliane,Viticultori Associati Canicatti,Viticultori Associati Canicatti 2012 Aquilae Nero d'Avola (Terre Siciliane),Nero d'Avola,12.0,88,Kerin O’Keefe,"This juicy, delicious red features aromas of red berry, Mediterranean brush and aromatic herb. The easygoing palate doles out ripe blackberry, crushed Morello cherry, a charred note and a touch of baking spice alongside smooth, supple tannins. Enjoy soon to capture the succulent fruit.",Aquilae,@kerinokeefe
1050,1036,Italy,Sicily & Sardinia,Etna,Vivera,Vivera 2010 Salisire Bianco  (Etna),Carricante,28.0,88,Kerin O’Keefe,"An attractive fragrance of white flower, stone fruit, apple and a whiff of smoke opens this linear wine. The bright palate offers dried citrus, Golden Delicious apple and mineral alongside brisk acidity.",Salisire Bianco,@kerinokeefe
1085,1071,Italy,Piedmont,Barolo,Mauro Veglio,Mauro Veglio 2013 Castelletto  (Barolo),Nebbiolo,57.0,94,Kerin O’Keefe,"This wine's enticing rose, blue flower, menthol and herb scents come together in the glass. On the taut, precise palate, tightly knit, refined tannins enwrap crunchy red cherry and juicy cranberry flavors. White pepper and clove notes add depth, while bright acidity lends balance. Drink 2023–2035.",Castelletto,@kerinokeefe
1091,1077,Italy,Piedmont,Barolo,Ascheri,Ascheri 2013 Ascheri  (Barolo),Nebbiolo,180.0,94,Kerin O’Keefe,"This savory, firmly structured, full-bodied red opens with subtle dark berry, rose petal, pipe tobacco and crushed herb aromas. It delivers layers of juicy Marasca cherry, black raspberry, cinnamon and clove flavors, buttressed by youthfully assertive but refined tannins and nicely balanced, with fresh acidity. Drink 2023–2033.",Ascheri,@kerinokeefe
